# ● Daftar Mode Skenario (Kaisou Mode),,,,

#Nama file thumbnail,Nama file sumber thumbnail （untuk pembuatan otomatis）,File mulai*Label pindah*Label mulai,[[File selesai]*Label selesai*Label buka|@Flag],

thum_dc5_ykn19610109b,,dc5_ykn19610109b.ks*dc5_ykn19610109b_START,@dc5_ykn19610109b,Tekad dan Harapan

thum_dc5_ykn19610117a,,dc5_ykn19610117a.ks*dc5_ykn19610117a_START,@dc5_ykn19610117a,Firasat Pertanda Buruk

thum_dc5_ykn19610122b,,dc5_ykn19610122b.ks*dc5_ykn19610122b_START,@dc5_ykn19610122b,Perpisahan yang Tiba-tiba

thum_dc5_ykn19610122c,,dc5_ykn19610122c.ks*dc5_ykn19610122c_START,@dc5_ykn19610122c,Keheningan untuk Satu Orang

thum_dc5_ykn19610122d,,dc5_ykn19610122d.ks*dc5_ykn19610122d_START,@dc5_ykn19610122d,Mencurahkan Seluruh Kasih Sayang

thum_dc5_ykn19610123a,,dc5_ykn19610123a.ks*dc5_ykn19610123a_START,@dc5_ykn19610123a,Keseharian yang Terus Berubah

thum_dc5_ykn19610123c,,dc5_ykn19610123c.ks*dc5_ykn19610123c_START,@dc5_ykn19610123c,"Tokisaka Yukina, Mulai Bergerak"

thum_dc5_ykn19610126a,,dc5_ykn19610126a.ks*dc5_ykn19610126a_START,@dc5_ykn19610126a,Selangkah Demi Selangkah

thum_dc5_ykn19610126b,,dc5_ykn19610126b.ks*dc5_ykn19610126b_START,@dc5_ykn19610126b,Demi Menyampaikan Rasa Terima Kasih

thum_dc5_ykn19610126d,,dc5_ykn19610126d.ks*dc5_ykn19610126d_START,@dc5_ykn19610126d,Cengkeraman Tangan Iblis Hitam

thum_dc5_ykn19610129b,,dc5_ykn19610129b.ks*dc5_ykn19610129b_START,@dc5_ykn19610129b,Senyuman yang Cocok dengan Anting-anting

thum_dc5_ykn19610201c,,dc5_ykn19610201c.ks*dc5_ykn19610201c_START,@dc5_ykn19610201c,Selamat Ulang Tahun!

thum_dc5_ykn19610201d,,dc5_ykn19610201d.ks*dc5_ykn19610201d_START,@dc5_ykn19610201d,Sihir Pemutar Waktu Terakhir

thum_dc5_ykn19610202a,,dc5_ykn19610202a.ks*dc5_ykn19610202a_START,@dc5_ykn19610202a,Kebenaran yang Terhapus Gelap 6 Tahun Lalu

thum_dc5_ykn19610202a2,,dc5_ykn19610202a2.ks*dc5_ykn19610202a2_START,@dc5_ykn19610202a2,Pagi Kehilangan Tempat Bersandar

thum_dc5_ykn19610202b,,dc5_ykn19610202b.ks*dc5_ykn19610202b_START,@dc5_ykn19610202b,Kemalangan Gelap yang Tak Bisa Dihapus

thum_dc5_ykn19610202d,,dc5_ykn19610202d.ks*dc5_ykn19610202d_START,@dc5_ykn19610202d,Itu Adalah Sihir Cinta yang Dipersembahkan untuk Orang Tercinta

thum_dc5_ykn19610207d,,dc5_ykn19610207d.ks*dc5_ykn19610207d_START,@dc5_ykn19610207d,Gadis Jenius yang Kejam

thum_dc5_ykn19610208b,,dc5_ykn19610208b.ks*dc5_ykn19610208b_START,@dc5_ykn19610208b,Menumpuk Doa dan Melingkarkannya

thum_dc5_ykn19610208c,,dc5_ykn19610208c.ks*dc5_ykn19610208c_START,@dc5_ykn19610208c,Batas Waktu yang Kian Mendekat

thum_dc5_ykn19610210d,,dc5_ykn19610210d.ks*dc5_ykn19610210d_START,@dc5_ykn19610210d,Menitipkan Harapan Kebahagiaan

thum_dc5_ykn19610217a,,dc5_ykn19610217a.ks*dc5_ykn19610217a_START,@dc5_ykn19610217a,Raga yang Kosong

thum_dc5_ykn19610217b,,dc5_ykn19610217b.ks*dc5_ykn19610217b_START,@dc5_ykn19610217b,Untaian Doa yang Tertulis dan Janji Menuju Masa Depan

thum_dc5_ykn19610218a,,dc5_ykn19610218a.ks*dc5_ykn19610218a_START,@dc5_ykn19610218a,Masa Depan yang Diwarisi dari Yukina

thum_dc5_ykn19610218b,,dc5_ykn19610218b.ks*dc5_ykn19610218b_START,@dc5_ykn19610218b,Keluarga Tokisaka dan Sejarah Pemutar Waktu

thum_dc5_ykn19610218d,,dc5_ykn19610218d.ks*dc5_ykn19610218d_START,@dc5_ykn19610218d,Menantang Dunia!

thum_dc5_ykn19610225a,,dc5_ykn19610225a.ks*dc5_ykn19610225a_START,@dc5_ykn19610225a,"Jarak Bernama Bakat, Dinding Bernama Waktu"

thum_dc5_ykn19610225b,,dc5_ykn19610225b.ks*dc5_ykn19610225b_START,@dc5_ykn19610225b,Hal yang Dimohonkan pada Bintang Jatuh

thum_dc5_ykn19610225d,,dc5_ykn19610225d.ks*dc5_ykn19610225d_START,@dc5_ykn19610225d,Perasaan Diri Sendiri dan Beratnya Beban Sejarah

thum_dc5_ykn19610226a,,dc5_ykn19610226a.ks*dc5_ykn19610226a_START,@dc5_ykn19610226a,Kata Kuncinya Adalah...

thum_dc5_ykn19610226a2,,dc5_ykn19610226a2.ks*dc5_ykn19610226a2_START,@dc5_ykn19610226a2,Tekad Bernama Janji

thum_dc5_ykn19610226d,,dc5_ykn19610226d.ks*dc5_ykn19610226d_START,@dc5_ykn19610226d,Dosa Mengubah Dunia

thum_dc5_ykn19610226d2,,dc5_ykn19610226d2.ks*dc5_ykn19610226d2_START,@dc5_ykn19610226d2,Di Atas Bukit Tempat Bintang-bintang Berkilau

thum_dc5_ykn29610201c1,,dc5_ykn29610201c1.ks*dc5_ykn29610201c1_START,@dc5_ykn29610201c1,Dari Dunia yang Baru

thum_dc5_ykn29610201c2,,dc5_ykn29610201c2.ks*dc5_ykn29610201c2_START,@dc5_ykn29610201c2,Itu Adalah Cinta Murni yang Mempertaruhkan Nyawa

thum_dc5_ykn29610201d,,dc5_ykn29610201d.ks*dc5_ykn29610201d_START,@dc5_ykn29610201d,"Untuk Diriku di Hari Esok, Untukmu di Hari Esok"

thum_dc5_gep19610333a5,,dc5_gep19610333a5.ks*dc5_gep19610333a5_START,@dc5_gep19610333a5,Pasti Akan Ada Jalannya

"#,,,,",,,,

:,Aika,,,

thum_dc5_aik19601102c,,dc5_aik19601102c.ks*dc5_aik19601102c_START,@dc5_aik19601102c,Bunga Sakura yang Mekar Putih

thum_dc5_aik19601104c,,dc5_aik19601104c.ks*dc5_aik19601104c_START,@dc5_aik19601104c,Kenapa?

thum_dc5_aik19601107a,,dc5_aik19601107a.ks*dc5_aik19601107a_START,@dc5_aik19601107a,Alasan untuk Berjuang

thum_dc5_aik19601109c,,dc5_aik19601109c.ks*dc5_aik19601109c_START,@dc5_aik19601109c,Gadis Selain Anggota Keluarga

thum_dc5_aik19601110c,,dc5_aik19601110c.ks*dc5_aik19601110c_START,@dc5_aik19601110c,Hari Ini Menu Spesial

thum_dc5_aik19601110d,,dc5_aik19601110d.ks*dc5_aik19601110d_START,@dc5_aik19601110d,Laporan Hari Ini

thum_dc5_aik19601111c,,dc5_aik19601111c.ks*dc5_aik19601111c_START,@dc5_aik19601111c,Sandwich Sebagai Ucapan Terima Kasih

thum_dc5_aik19601111d,,dc5_aik19601111d.ks*dc5_aik19601111d_START,@dc5_aik19601111d,Jawaban yang Dicapai Adalah...

thum_dc5_aik19601114a,,dc5_aik19601114a.ks*dc5_aik19601114a_START,@dc5_aik19601114a,Pikiran Liar dan Ketetapan Hati

thum_dc5_aik19601114b,,dc5_aik19601114b.ks*dc5_aik19601114b_START,@dc5_aik19601114b,Dukungan dari Sahabat Karib

thum_dc5_aik19601114c,,dc5_aik19601114c.ks*dc5_aik19601114c_START,@dc5_aik19601114c,Catatan Waktu yang Bagus

thum_dc5_aik19601118c,,dc5_aik19601118c.ks*dc5_aik19601118c_START,@dc5_aik19601118c,"Karena Itu, Hari Esok Adalah..."

thum_dc5_aik19601119b,,dc5_aik19601119b.ks*dc5_aik19601119b_START,@dc5_aik19601119b,"Akhirnya, Hari Ini Tiba"

thum_dc5_aik19601119c,,dc5_aik19601119c.ks*dc5_aik19601119c_START,@dc5_aik19601119c,Perkembangan yang Tak Terduga

thum_dc5_aik19601121c,,dc5_aik19601121c.ks*dc5_aik19601121c_START,@dc5_aik19601121c,Situasi Keluarga Shirakawa

thum_dc5_aik19601121d,,dc5_aik19601121d.ks*dc5_aik19601121d_START,@dc5_aik19601121d,Diriku yang Kusukai

thum_dc5_aik19601122b,,dc5_aik19601122b.ks*dc5_aik19601122b_START,@dc5_aik19601122b,Rumor dan Rahasia

thum_dc5_aik19601123c,,dc5_aik19601123c.ks*dc5_aik19601123c_START,@dc5_aik19601123c,Rahasia Bahkan dari Keluarga

thum_dc5_aik19601124c,,dc5_aik19601124c.ks*dc5_aik19601124c_START,@dc5_aik19601124c,Memahami Arti Keimutan

thum_dc5_aik19601125c,,dc5_aik19601125c.ks*dc5_aik19601125c_START,@dc5_aik19601125c,Ahli Bermain Sendirian

thum_dc5_aik19601128b,,dc5_aik19601128b.ks*dc5_aik19601128b_START,@dc5_aik19601128b,Ajakan Bermain Ayatori (Tali Tangan)

thum_dc5_aik19601128c,,dc5_aik19601128c.ks*dc5_aik19601128c_START,@dc5_aik19601128c,Laporan Hari Ini dan...

thum_dc5_aik19601129b,,dc5_aik19601129b.ks*dc5_aik19601129b_START,@dc5_aik19601129b,Istirahat Siang yang Menyenangkan

thum_dc5_aik19601129d,,dc5_aik19601129d.ks*dc5_aik19601129d_START,@dc5_aik19601129d,"Tapi, Aku Ingin Bertemu"

thum_dc5_aik19601201c,,dc5_aik19601201c.ks*dc5_aik19601201c_START,@dc5_aik19601201c,Bagaimana Perasaan Akari?

thum_dc5_aik19601202a,,dc5_aik19601202a.ks*dc5_aik19601202a_START,@dc5_aik19601202a,Hubungan yang Diinginkan

thum_dc5_aik19601202c,,dc5_aik19601202c.ks*dc5_aik19601202c_START,@dc5_aik19601202c,Hasil Setelah Berputar Jauh

thum_dc5_aik19601202d,,dc5_aik19601202d.ks*dc5_aik19601202d_START,@dc5_aik19601202d,Kata-kata Paling Membahagiakan Nomor Dua

thum_dc5_aik19601203b,,dc5_aik19601203b.ks*dc5_aik19601203b_START,@dc5_aik19601203b,Reaksi Masing-masing

thum_dc5_aik19601204b,,dc5_aik19601204b.ks*dc5_aik19601204b_START,@dc5_aik19601204b,Kencan Pertama

thum_dc5_aik19601205a,,dc5_aik19601205a.ks*dc5_aik19601205a_START,@dc5_aik19601205a,Pagi Hari Ujian Semester

thum_dc5_aik19601205c,,dc5_aik19601205c.ks*dc5_aik19601205c_START,@dc5_aik19601205c,Salam Berkunjung ke Rumah Keluarga Shirakawa

thum_dc5_aik19601206c,,dc5_aik19601206c.ks*dc5_aik19601206c_START,@dc5_aik19601206c,Kelompok Belajar di Rumah Shirakawa

thum_dc5_aik19601207c,,dc5_aik19601207c.ks*dc5_aik19601207c_START,@dc5_aik19601207c,Sangat Imut

thum_dc5_aik19601209c,,dc5_aik19601209c.ks*dc5_aik19601209c_START,@dc5_aik19601209c,Panggilan yang Berbeda

thum_dc5_aik19601210c,,dc5_aik19601210c.ks*dc5_aik19601210c_START,@dc5_aik19601210c,Tawaran dari Touko-nee

thum_dc5_aik19601211b,,dc5_aik19601211b.ks*dc5_aik19601211b_START,@dc5_aik19601211b,Firasat Calon Maskot Toko (Kanban Musume)

thum_dc5_aik19601211c,,dc5_aik19601211c.ks*dc5_aik19601211c_START,@dc5_aik19601211c,Untuk Laporan Hari Ini

thum_dc5_aik19601212b,,dc5_aik19601212b.ks*dc5_aik19601212b_START,@dc5_aik19601212b,Manajemen

thum_dc5_aik19601217c,,dc5_aik19601217c.ks*dc5_aik19601217c_START,@dc5_aik19601217c,Tantangan Baru

thum_dc5_aik19601217d,,dc5_aik19601217d.ks*dc5_aik19601217d_START,@dc5_aik19601217d,Dalam Laporan Hari Ini

thum_dc5_aik19601218b,,dc5_aik19601218b.ks*dc5_aik19601218b_START,@dc5_aik19601218b,Bukan Kemanisan yang Seperti Itu

thum_dc5_aik19601224a,,dc5_aik19601224a.ks*dc5_aik19601224a_START,@dc5_aik19601224a,Bisa Ditendang Rusa Kutub Lho

thum_dc5_aik19601224c,,dc5_aik19601224c.ks*dc5_aik19601224c_START,@dc5_aik19601224c,Sedikit Lebih Panjang...

thum_dc5_aik19601225b,,dc5_aik19601225b.ks*dc5_aik19601225b_START,@dc5_aik19601225b,Inspirasi di Danau Suikyou

thum_dc5_aik19601226b,,dc5_aik19601226b.ks*dc5_aik19601226b_START,@dc5_aik19601226b,Perbedaan Antara Hobi dan Pekerjaan

thum_dc5_aik19601228b,,dc5_aik19601228b.ks*dc5_aik19601228b_START,@dc5_aik19601228b,Ide Spontan Souma

thum_dc5_aik19601230c,,dc5_aik19601230c.ks*dc5_aik19601230c_START,@dc5_aik19601230c,Pesta Syukuran Bersama Orang-orang Terdekat

thum_dc5_aik19601231d,,dc5_aik19601231d.ks*dc5_aik19601231d_START,@dc5_aik19601231d,Kunjungan di Malam Tahun Baru

thum_dc5_aik19610103b,,dc5_aik19610103b.ks*dc5_aik19610103b_START,@dc5_aik19610103b,Selamat Tahun Baru Keluarga Shirakawa

thum_dc5_aik19610104b,,dc5_aik19610104b.ks*dc5_aik19610104b_START,@dc5_aik19610104b,Orang yang Ingin Kupanggil

thum_dc5_aik19610106c,,dc5_aik19610106c.ks*dc5_aik19610106c_START,@dc5_aik19610106c,Hal-hal yang Perlahan Berubah

thum_dc5_aik19610108b,,dc5_aik19610108b.ks*dc5_aik19610108b_START,@dc5_aik19610108b,Rekan-rekan yang Dapat Diandalkan

thum_dc5_aik19610109a,,dc5_aik19610109a.ks*dc5_aik19610109a_START,@dc5_aik19610109a,Bocor Nih~

thum_dc5_aik19610114c,,dc5_aik19610114c.ks*dc5_aik19610114c_START,@dc5_aik19610114c,"Besok, dan Seterusnya"

thum_dc5_aik19610115b,,dc5_aik19610115b.ks*dc5_aik19610115b_START,@dc5_aik19610115b,Pelanggan Nomor Satu

thum_dc5_aik19610122b,,dc5_aik19610122b.ks*dc5_aik19610122b_START,@dc5_aik19610122b,Penundaan Sembari Menatap ke Depan

thum_dc5_gep19610333a4,,dc5_gep19610333a4.ks*dc5_gep19610333a4_START,@dc5_gep19610333a4,Kebangkitan Sebuah Keajaiban

"#,,,,",,,,

:,Kako,,,

thum_dc5_kak19601102c,,dc5_kak19601102c.ks*dc5_kak19601102c_START,@dc5_kak19601102c,Bagaimanakah Kelanjutan Festival Kagasai

thum_dc5_kak19601103a,,dc5_kak19601103a.ks*dc5_kak19601103a_START,@dc5_kak19601103a,Gadis Bernama Yasaka Kako

thum_dc5_kak19601104c,,dc5_kak19601104c.ks*dc5_kak19601104c_START,@dc5_kak19601104c,Galaxy Romance

thum_dc5_kak19601105b,,dc5_kak19601105b.ks*dc5_kak19601105b_START,@dc5_kak19601105b,Sore Hari Penuh Percobaan dan Kesalahan

thum_dc5_kak19601107c,,dc5_kak19601107c.ks*dc5_kak19601107c_START,@dc5_kak19601107c,Operasi Dimulai!

thum_dc5_kak19601108c,,dc5_kak19601108c.ks*dc5_kak19601108c_START,@dc5_kak19601108c,Langkah Pertama untuk Mengundang Orang

thum_dc5_kak19601110c,,dc5_kak19601110c.ks*dc5_kak19601110c_START,@dc5_kak19601110c,"Berubah, Melangkah Maju, Menjadi Dewasa"

thum_dc5_kak19601111d,,dc5_kak19601111d.ks*dc5_kak19601111d_START,@dc5_kak19601111d,Mengubah Perasaan Menjadi Tenaga Penggerak

thum_dc5_kak19601112b,,dc5_kak19601112b.ks*dc5_kak19601112b_START,@dc5_kak19601112b,Great Escape

thum_dc5_kak19601112d,,dc5_kak19601112d.ks*dc5_kak19601112d_START,@dc5_kak19601112d,Malam yang Dingin dan Telapak Tangan yang Hangat

thum_dc5_kak19601113a,,dc5_kak19601113a.ks*dc5_kak19601113a_START,@dc5_kak19601113a,Bagian Dalam Keluarga Tokisaka yang Mulai Berubah

thum_dc5_kak19601114c,,dc5_kak19601114c.ks*dc5_kak19601114c_START,@dc5_kak19601114c,Klub Astronomi Mulai Bergerak!

thum_dc5_kak19601116c,,dc5_kak19601116c.ks*dc5_kak19601116c_START,@dc5_kak19601116c,Enak Sekali Lho!

thum_dc5_kak19601117d,,dc5_kak19601117d.ks*dc5_kak19601117d_START,@dc5_kak19601117d,Onigiri Kako Bersama Souma

thum_dc5_kak19601118d,,dc5_kak19601118d.ks*dc5_kak19601118d_START,@dc5_kak19601118d,Pada Malam Saat Bintang Seolah Hendak Berjatuhan

thum_dc5_kak19601119c,,dc5_kak19601119c.ks*dc5_kak19601119c_START,@dc5_kak19601119c,Setelah Festival Usai

thum_dc5_kak19601120a,,dc5_kak19601120a.ks*dc5_kak19601120a_START,@dc5_kak19601120a,Kesadaran Diri yang Masih Belum Tumbuh

thum_dc5_kak19601122d,,dc5_kak19601122d.ks*dc5_kak19601122d_START,@dc5_kak19601122d,"Adik yang Ragu Melangkah, Kakak yang Peka"

thum_dc5_kak19601123c,,dc5_kak19601123c.ks*dc5_kak19601123c_START,@dc5_kak19601123c,Pemandian Terlarang

thum_dc5_kak19601123d,,dc5_kak19601123d.ks*dc5_kak19601123d_START,@dc5_kak19601123d,Berkah Langit Malam

thum_dc5_kak19601124b,,dc5_kak19601124b.ks*dc5_kak19601124b_START,@dc5_kak19601124b,Mohon Awasi Perkembangan Pemula Ini dengan Penuh Kehangatan

thum_dc5_kak19601125a,,dc5_kak19601125a.ks*dc5_kak19601125a_START,@dc5_kak19601125a,Laporan yang Menggembirakan Sekaligus Memalukan

thum_dc5_kak19601126c,,dc5_kak19601126c.ks*dc5_kak19601126c_START,@dc5_kak19601126c,Setiap Hari Ada Kako di Sampingku

thum_dc5_kak19601127b,,dc5_kak19601127b.ks*dc5_kak19601127b_START,@dc5_kak19601127b,Kencan Pertama

thum_dc5_kak19601128a,,dc5_kak19601128a.ks*dc5_kak19601128a_START,@dc5_kak19601128a,"Ajari Aku, Guru Kako!"

thum_dc5_kak19601128c,,dc5_kak19601128c.ks*dc5_kak19601128c_START,@dc5_kak19601128c,Memberi Batasan yang Jelas

thum_dc5_kak19601130c,,dc5_kak19601130c.ks*dc5_kak19601130c_START,@dc5_kak19601130c,Kelas Kerajinan Tangan Yasaka Kako

thum_dc5_kak19601202c,,dc5_kak19601202c.ks*dc5_kak19601202c_START,@dc5_kak19601202c,Waktu Pulang Sekolah yang Bagaikan Permata

thum_dc5_kak19601204d,,dc5_kak19601204d.ks*dc5_kak19601204d_START,@dc5_kak19601204d,Hal yang Dibenci Seluruh Siswa Akan Segera Dimulai

thum_dc5_kak19601205d,,dc5_kak19601205d.ks*dc5_kak19601205d_START,@dc5_kak19601205d,"Di Hari Seperti Ini, Ayo Kerjakan Pekerjaan Rumah Bersama-sama"

thum_dc5_kak19601207d,,dc5_kak19601207d.ks*dc5_kak19601207d_START,@dc5_kak19601207d,Situasi Gawat Kako Masih Berlanjut

thum_dc5_kak19601209d,,dc5_kak19601209d.ks*dc5_kak19601209d_START,@dc5_kak19601209d,Setelah Pesta Selesai

thum_dc5_kak19601211b,,dc5_kak19601211b.ks*dc5_kak19601211b_START,@dc5_kak19601211b,Muscle Cooking

thum_dc5_kak19601212c,,dc5_kak19601212c.ks*dc5_kak19601212c_START,@dc5_kak19601212c,Jimat Pengabul Cinta

thum_dc5_kak19601215d,,dc5_kak19601215d.ks*dc5_kak19601215d_START,@dc5_kak19601215d,Kekhawatiran yang Samar

thum_dc5_kak19601219c,,dc5_kak19601219c.ks*dc5_kak19601219c_START,@dc5_kak19601219c,Hidangan Spesial yang Penuh Perasaan

thum_dc5_kak19601221d,,dc5_kak19601221d.ks*dc5_kak19601221d_START,@dc5_kak19601221d,Nona Kako yang Begadang

thum_dc5_kak19601224c,,dc5_kak19601224c.ks*dc5_kak19601224c_START,@dc5_kak19601224c,Menunggu Laporan dari Fumino-senpai

thum_dc5_kak19601225b,,dc5_kak19601225b.ks*dc5_kak19601225b_START,@dc5_kak19601225b,Ajakan untuk Perkumpulan Anak-anak

thum_dc5_kak19601225c,,dc5_kak19601225c.ks*dc5_kak19601225c_START,@dc5_kak19601225c,Mendorong Punggung Kako yang Sedang Ragu

thum_dc5_kak19601228b,,dc5_kak19601228b.ks*dc5_kak19601228b_START,@dc5_kak19601228b,"Guru Kako, Pertama Kalinya di Perkumpulan Anak-anak"

thum_dc5_kak19601228c,,dc5_kak19601228c.ks*dc5_kak19601228c_START,@dc5_kak19601228c,Rahasia Menghadapi Anak-anak

thum_dc5_kak19601229b,,dc5_kak19601229b.ks*dc5_kak19601229b_START,@dc5_kak19601229b,Bersenang-senanglah Bersama

thum_dc5_kak19601230b,,dc5_kak19601230b.ks*dc5_kak19601230b_START,@dc5_kak19601230b,Pembuatan Aksesori Takashi-kun

thum_dc5_kak19601231d,,dc5_kak19601231d.ks*dc5_kak19601231d_START,@dc5_kak19601231d,Perhatian dan Malam Tahun Baru Berdua

thum_dc5_kak19610101b,,dc5_kak19610101b.ks*dc5_kak19610101b_START,@dc5_kak19610101b,Adu Menerbangkan Layang-layang Kakak Beradik

thum_dc5_kak19610103b,,dc5_kak19610103b.ks*dc5_kak19610103b_START,@dc5_kak19610103b,Kebahagiaan Saat Dihargai Orang Lain

thum_dc5_kak19610106b,,dc5_kak19610106b.ks*dc5_kak19610106b_START,@dc5_kak19610106b,"Selamat Tahun Baru, Touko-nee"

thum_dc5_kak19610106c,,dc5_kak19610106c.ks*dc5_kak19610106c_START,@dc5_kak19610106c,Kako Menjadi Bos Pelayan (Maid Boss)

thum_dc5_kak19610111c,,dc5_kak19610111c.ks*dc5_kak19610111c_START,@dc5_kak19610111c,Romansa Suginami yang Tak Dipahami Kako

thum_dc5_kak19610113d,,dc5_kak19610113d.ks*dc5_kak19610113d_START,@dc5_kak19610113d,"Benang Wol, Oden, dan Langit Bertabur Bintang"

thum_dc5_kak19610117a,,dc5_kak19610117a.ks*dc5_kak19610117a_START,@dc5_kak19610117a,Adik Yuuto? dan Cerita Tentang Sakura

thum_dc5_kak19610122d,,dc5_kak19610122d.ks*dc5_kak19610122d_START,@dc5_kak19610122d,Bekal Perpisahan untuk Mizuha

thum_dc5_kak19610123a,,dc5_kak19610123a.ks*dc5_kak19610123a_START,@dc5_kak19610123a,Ruang Kosong yang Terasa Hampa

thum_dc5_kak19610129b,,dc5_kak19610129b.ks*dc5_kak19610129b_START,@dc5_kak19610129b,Kenangan Saat Terpisah Jauh

thum_dc5_kak19610202c,,dc5_kak19610202c.ks*dc5_kak19610202c_START,@dc5_kak19610202c,Makan Malam Berdua Saja

thum_dc5_kak19610205d,,dc5_kak19610205d.ks*dc5_kak19610205d_START,@dc5_kak19610205d,"Pikiran Sang Kakak, Perasaan Sang Adik"

thum_dc5_kak19610211b,,dc5_kak19610211b.ks*dc5_kak19610211b_START,@dc5_kak19610211b,Kroket dan Pembicaraan Acara Anak Berikutnya

thum_dc5_kak19610212b,,dc5_kak19610212b.ks*dc5_kak19610212b_START,@dc5_kak19610212b,Memasak Khusus Demi Kako

thum_dc5_kak19610215d,,dc5_kak19610215d.ks*dc5_kak19610215d_START,@dc5_kak19610215d,Rasa Cemas dan Manja

thum_dc5_kak19610216a,,dc5_kak19610216a.ks*dc5_kak19610216a_START,@dc5_kak19610216a,Kenangan Retakan di Langit

thum_dc5_kak19610216b,,dc5_kak19610216b.ks*dc5_kak19610216b_START,@dc5_kak19610216b,Kehampaan Tanpa Kehadiran Anoa

thum_dc5_kak19610216d,,dc5_kak19610216d.ks*dc5_kak19610216d_START,@dc5_kak19610216d,Kecemasan dan Krisis

thum_dc5_kak19610217a,,dc5_kak19610217a.ks*dc5_kak19610217a_START,@dc5_kak19610217a,Kepercayaan yang Diperoleh dan Rasa Percaya Diri yang Tumbuh

thum_dc5_gep19610333a3,,dc5_gep19610333a3.ks*dc5_gep19610333a3_START,@dc5_gep19610333a3,Masa Depan yang Mulai Terlihat

"#,,,,",,,,

:,Lainnya,,,

thum_dc5_pro19601020a1,,dc5_pro19601020a1.ks*dc5_pro19601020a1_START,@dc5_pro19601020a1,Kamu... Siapa?

thum_dc5_pro19601020a2,,dc5_pro19601020a2.ks*dc5_pro19601020a2_START,@dc5_pro19601020a2,Sang Jenius dan Pelayan Cilik

thum_dc5_pro19601020a3,,dc5_pro19601020a3.ks*dc5_pro19601020a3_START,@dc5_pro19601020a3,Latihan Sihir VS Yuki-nee

thum_dc5_pro19601020a4,,dc5_pro19601020a4.ks*dc5_pro19601020a4_START,@dc5_pro19601020a4,Meja Makan di Vila Tokisaka

thum_dc5_pro19601020a5,,dc5_pro19601020a5.ks*dc5_pro19601020a5_START,@dc5_pro19601020a5,Sosok-sosok Anggun di Akademi Kagami

thum_dc5_pro19601020a6,,dc5_pro19601020a6.ks*dc5_pro19601020a6_START,@dc5_pro19601020a6,Sosok-sosok Ceria di Akademi Kagami

thum_dc5_pro19601020b,,dc5_pro19601020b.ks*dc5_pro19601020b_START,@dc5_pro19601020b,Hal yang Ingin Diperdengarkan Suginami

thum_dc5_pro19601020c1,,dc5_pro19601020c1.ks*dc5_pro19601020c1_START,@dc5_pro19601020c1,Bagaimanakah Akhir dari Hakari-goto?

thum_dc5_pro19601020c2,,dc5_pro19601020c2.ks*dc5_pro19601020c2_START,@dc5_pro19601020c2,Kuliner Lezat Kemenangan

thum_dc5_pro19601021a1,,dc5_pro19601021a1.ks*dc5_pro19601021a1_START,@dc5_pro19601021a1,Meja Makan yang Ramai Seperti Biasa

thum_dc5_pro19601021a2,,dc5_pro19601021a2.ks*dc5_pro19601021a2_START,@dc5_pro19601021a2,Suginami dan Suezaki Seperti Biasa

thum_dc5_pro19601021b,,dc5_pro19601021b.ks*dc5_pro19601021b_START,@dc5_pro19601021b,Rutinitas di Hari Kesiangan

thum_dc5_pro19601021c,,dc5_pro19601021c.ks*dc5_pro19601021c_START,@dc5_pro19601021c,Pertemuan yang Tak Biasa

thum_dc5_com19601022a1,,dc5_com19601022a1.ks*dc5_com19601022a1_START,@dc5_com19601022a1,Jam Saku dan Jam Weker

thum_dc5_com19601022a2,,dc5_com19601022a2.ks*dc5_com19601022a2_START,@dc5_com19601022a2,Gadis yang Turun Melayang dari Pohon Sakura

thum_dc5_com19601022a3,,dc5_com19601022a3.ks*dc5_com19601022a3_START,@dc5_com19601022a3,Pagi Hari yang Lebih Ramai dari Biasanya

thum_dc5_com19601022c,,dc5_com19601022c.ks*dc5_com19601022c_START,@dc5_com19601022c,"Ingatan, Buku, dan Kacamata"

thum_dc5_com19601022d,,dc5_com19601022d.ks*dc5_com19601022d_START,@dc5_com19601022d,"Tokisaka, Kuzumi, Yasaka, dan Mizuha"

thum_dc5_com19601023a,,dc5_com19601023a.ks*dc5_com19601023a_START,@dc5_com19601023a,Pemandu Wisata Pulau Kagami 1

thum_dc5_com19601023b,,dc5_com19601023b.ks*dc5_com19601023b_START,@dc5_com19601023b,Pemandu Wisata Pulau Kagami 2

thum_dc5_com19601024a1,,dc5_com19601024a1.ks*dc5_com19601024a1_START,@dc5_com19601024a1,Kenangan Menengadah Menatap Bintang

thum_dc5_com19601024a2,,dc5_com19601024a2.ks*dc5_com19601024a2_START,@dc5_com19601024a2,Murid Pindahan di Luar Musimnya

thum_dc5_com19601024d,,dc5_com19601024d.ks*dc5_com19601024d_START,@dc5_com19601024d,Pengawasan dan Kebaikan Hati

thum_dc5_com19601025c,,dc5_com19601025c.ks*dc5_com19601025c_START,@dc5_com19601025c,Legenda Tiga Orang Bodoh (3 Baka) yang Legendaris

